player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Jahsen Wint,42914,S,MARSHALL,11,0,0,214,53.8,0,1,8,9.8,0.0,0,0,6.3,0,82,8,1,0,57.9,0,0,2,8.7,0.0,0,0.0,0,23,2,0
Chaz Ah You,51989,LB,BYU,2,0,0,128,56.4,0,0,3,13.0,0.0,0,0,0.0,0,23,3,0,0,59.6,0,0,1,33.3,0.0,0,0.0,0,3,1,0
Sinjun Astani,52257,DI,USC,3,0,0,326,58.4,0,2,7,100.0,28.6,2,0,14.3,0,8,8,2,0,59.8,0,2,4,100.0,50.0,2,25.0,0,4,4,2
Malik Vann,52555,ED,CINCINNATI,12,1,0,138,65.8,2,13,166,100.0,10.8,18,0,5.7,2,179,179,17,0,72.6,0,5,32,100.0,21.9,7,14.1,2,37,37,7
Tyler Bentley,52790,DI,PITTSBURGH,12,0,0,268,53.0,0,3,136,100.0,1.5,2,1,1.1,0,144,144,3,0,52.2,0,1,32,100.0,0.0,0,1.6,0,35,35,1
Xavier Peters,52819,ED,FAU,6,0,0,165,58.1,1,2,69,97.2,4.3,3,0,3.6,1,71,69,4,0,57.4,1,1,22,100.0,9.1,2,4.5,0,22,22,2
Zaid Hamdan,52925,DI,TULSA,12,0,1,320,60.5,3,3,136,99.3,5.1,7,1,2.2,0,142,141,6,0,60.7,2,2,47,98.0,6.4,3,4.3,0,50,49,4
Cole Pearce,52970,LB,BALL ST,12,2,0,117,75.1,6,7,59,14.5,13.6,8,3,17.8,4,433,63,17,0,75.0,3,4,22,17.7,22.7,5,29.5,3,147,26,10
Deshawn Pace,53549,S,CINCINNATI,11,0,0,138,67.5,4,4,40,13.4,7.5,3,1,10.0,0,335,45,8,0,60.9,2,1,12,17.9,8.3,1,12.5,0,78,14,3
Eric Phillips,53572,ED,CINCINNATI,12,0,0,138,67.0,2,23,219,99.6,9.1,20,2,6.6,2,234,233,27,0,62.0,0,6,56,98.4,10.7,6,7.1,1,62,61,7
Ryan Mullaney,53704,ED,CINCINNATI,2,0,0,138,57.0,0,0,4,100.0,0.0,0,0,0.0,0,4,4,0,0,,0,0,0,,,0,,0,0,0,0
Jaheim Thomas,54193,LB,ARKANSAS,12,0,0,111,81.6,3,9,49,21.1,18.4,9,2,22.4,5,261,55,17,0,78.1,1,3,23,24.3,26.1,6,17.4,2,103,25,6
Jordan Strachan,55198,ED,S CAROLINA,12,0,1,289,63.7,8,9,253,93.6,7.9,20,3,5.3,5,280,262,22,0,66.4,6,5,91,97.9,13.2,12,8.2,2,97,95,13
Zachary Ford,55353,S,TOLEDO,12,0,0,316,68.8,0,6,23,5.5,17.4,4,2,13.0,0,452,25,6,0,70.6,0,3,8,4.8,37.5,3,18.8,0,189,9,3
Korey Hernandez,55796,CB,E MICHIGAN,11,0,0,160,60.0,0,1,1,1.0,0.0,0,2,50.0,0,104,1,1,0,,0,0,0,0.0,,0,,0,48,0,0
John Davis,56230,CB,N TEXAS,9,0,0,251,56.3,0,0,3,1.8,0.0,0,0,0.0,0,170,3,0,0,,0,0,0,0.0,,0,,0,21,0,0
Taijh Alston,56348,ED,COLORADO,10,2,0,143,68.4,3,13,169,99.4,10.7,18,1,5.9,2,180,179,18,0,75.2,2,5,51,100.0,21.6,11,10.8,2,54,54,9
Marcus Buckley,56754,DI,NEW MEX ST,3,0,0,242,66.8,0,0,17,100.0,5.9,1,0,0.0,0,17,17,0,0,55.9,0,0,4,100.0,0.0,0,0.0,0,4,4,0
Popo Aumavae,56803,DI,OREGON,12,0,1,264,72.1,1,11,200,100.0,9.5,19,2,4.0,2,214,214,14,0,76.4,0,9,75,100.0,17.3,13,8.7,2,80,80,11
Jacob Lichtenstein,56912,DI,MIAMI FL,11,0,0,220,66.7,0,8,87,100.0,10.3,9,0,5.7,1,91,91,9,0,62.1,0,5,29,100.0,17.2,5,12.1,1,30,30,6
JB Brown,57701,ED,UMASS,12,1,0,216,62.8,4,12,181,99.5,7.7,14,5,5.5,2,203,202,18,1,64.0,2,5,80,100.0,8.8,7,5.6,1,85,85,8
Bryson Jackson,57738,S,BAYLOR,12,0,0,118,63.3,0,3,35,29.1,8.6,3,0,4.3,0,127,37,3,0,60.1,0,0,7,24.1,14.3,1,0.0,0,29,7,0
Jerry Roberts,57759,LB,UMASS,10,0,0,216,63.3,1,2,22,12.7,13.6,3,0,6.8,0,197,25,3,0,50.2,0,1,13,27.1,0.0,0,3.8,0,48,13,1
